Unnamed: 0.1,Unnamed: 0,name,type,industry,monitization,selling_method,site_age_in_years,net_profit_in_dollar_per_month,price_in_dollars
297,297,Blognox,Content,Entertainment,Affiliate Sales,Site Age,7,Starting Price,100
298,298,SucculentHub,Content,Internet,Affiliate Sales,Site Age,1,Sold,2000
299,299,Security Media Wire,Content,Internet,Affiliate Sales,Site Age,2,Sold,179
300,300,New Earth Knowledge™,Content,Education,Ads,Site Age,3,Asking price,1111
301,301,Music-Channel24.com,Content,Entertainment,,Site Age,4,Asking price,2000
302,302,cyberdefensetactics.com,Content,Internet,Affiliate Sales,Site Age,1,Sold,250
303,303,www.OverHealthy.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Starting Price,500
304,304,TechnologyTopNews.com - Latest Tech News,Content,Electronics,Affiliate Sales,Site Age,1,Sold,99
305,305,LED DOGGO™,Ecommerce,Home and Garden,Dropship,Site Age,1,Sold,86
306,306,affiliatest.com,Content,Internet,Affiliate Sales,Site Age,1,Asking Price,127
307,307,Mental Remedies,Content,Lifestyle,Ads,Site Age,1, USD $-20 p/mo,2500
308,308,Biking Blog - 100% Unique Content | Organic Traffic | Monetization Ready,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Asking price,40
309,309,CryptocoinsTrend.com,Content,Business,Affiliate Sales,Site Age,1,2 days left,10
310,310,Survival Times,Content,Sports and Outdoor,Affiliate Sales,Site Age,4,Asking price,1499
311,311,Knock Off Time,Content,Entertainment,Ads,Site Age,3,Asking price,1399
312,312,t2shahid.com,Content,Entertainment,,Site Age,4,Asking price,7500
313,313,www.HealthWages.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,1
314,314,fromhometolove.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,130
315,315,Bizroids,Content,Internet,Affiliate Sales,Site Age,11,Asking Price,5
316,316,DailyCryptoGuides.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Sold,110
317,317,Shoutnerd,Content,Internet,Affiliate Sales,Site Age,1,1 day left,200
318,318,CryptocurrencyResponse.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Asking Price,109
319,319,GoldInvestmentProfit.com,Content,Business,Affiliate Sales,Site Age,1,15 days left,85
320,320,GymSupps.com Supplement Store Fitness Workout Gym Bodybuilding Website,Content,Health and Beauty,Affiliate Sales,Site Age,2,Asking price,1995
321,321,mybloghealth.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking Price,127
322,322,betmash.com,Content,Sports and Outdoor,,Site Age,3,Asking price,200
323,323,KetoAdviser.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,130
324,324,5 y/o Content Website on Boxing and Martial Arts,Content,Sports and Outdoor,Affiliate Sales,Site Age,5,Sold,500
325,325,RecipeOcean.com,Content,Food and Drink,Affiliate Sales,Site Age,1,2 days left,95
326,326,Art of Natural Life,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,130
327,327,ThatCryptoNews.com - All Crypto News,Content,Business,Affiliate Sales,Site Age,1,Sold,115
328,328,Advocates Connection,Content,Business,Ads,Site Age,1,Asking price,7500
329,329,GolfingAccess.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,320
330,330,besexuality.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,127
331,331,SmartHomeSecurityPro.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,129
332,332,RealEstateInvestmentAdvice.com,Content,Business,Affiliate Sales,Site Age,1,Sold,100
333,333,infosurvival.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Sold,127
334,334,englishwithghazali.com,Content,Education,Ads,Site Age,2,Starting Price,398
335,335,homerich entrepreneurs,Content,Internet,Affiliate Sales,Site Age,2,Starting Price,150
336,336,Retirement Nut,Content,Business,Ads,Site Age,4,Starting Price,250
337,337,thewagyukl.com,Content,Food and Drink,Ads,Site Age,1,Starting Price,498
338,338,GreatCoffeeSpot.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,90
339,339,EaseTravelWorld.com,Content,Travel,Affiliate Sales,Site Age,1,Starting Price,97
340,340,NBASportNews.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,119
341,341,Web3Cares.com,Content,Internet,Ads,Site Age,1,Asking Price,900
342,342,SecretGolfSkills.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,129
343,343,EliteCampingPros.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,85
344,344,Lady and a Blog,Content,Lifestyle,Affiliate Sales,Site Age,4,Sold,600
345,345,YourSpicyCoffee.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,100
346,346,Romantic4Ever,Content,Lifestyle,Affiliate Sales,Site Age,2,Asking price,1999
347,347,CryptocurrencyMode.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Sold,100
348,348,Top Fives,Content,Entertainment,Ads,Site Age,1,9 hours left,505
349,349,Whatevercoach.com,Content,Education,Ads,Site Age,2,Starting Price,1
350,350,SimpleHomeSecurityTips.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Asking Price,85
351,351,cycling-best.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1, USD $-61 p/mo,1000
352,352,CryptoerTribune.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Sold,99
353,353,adedonha.info,Content,Hobbies and Games,Ads,Site Age,1,Starting Price,598
354,354,SmartDebtTips.com,Content,Business,Affiliate Sales,Site Age,1,Sold,100
355,355,bespirituality.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Sold,120
356,356,bestnjfoods.com,Content,Food and Drink,Service Subscription,Site Age,8,Asking price,799
357,357,profoodblog.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,100
358,358,YouCanWorkout.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,399
359,359,https://nftpixel.online/,Content,General Knowledge,Affiliate Sales,Site Age,1,Asking price,138
360,360,TopGamesOcean.com,Content,Hobbies and Games,Affiliate Sales,Site Age,1,Sold,90
361,361,Woman Built Home,Content,Home and Garden,Affiliate Sales,Site Age,2,Sold,147
362,362,SmokeWorldwide.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,250
363,363,HousingPeak.com,Content,Business,Affiliate Sales,Site Age,1,Sold,115
364,364,SpiritualRespond.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Sold,100
365,365,VeganBestRecipes.com - Vegan Lifestyle & Recipes,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,129
366,366,BusinessMarketReport.com,Content,Business,Affiliate Sales,Site Age,1,18 days left,50
367,367,"Cryptosinmarkets.com - 100% TURN KEY Premium designed CRYPTO blog and affiliate website, , Fully Automated Posts , SEO Optimized",Content,Business,Affiliate Sales,Site Age,1,Sold,99
368,368,HomeBeerBrewingTips.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,119
369,369,MultiSportsNews.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,150
370,370,SmartNutritionPros.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,85
371,371,SportsAllNews.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,109
372,372,DebtHelpInfo.com,Content,Business,Affiliate Sales,Site Age,1,Sold,149
373,373,marketingego.com,Content,Internet,Affiliate Sales,Site Age,1,Asking Price,127
374,374,Trailer Junki,Content,Entertainment,Affiliate Sales,Site Age,2,Asking price,100
375,375,kitchen amaze,Content,Food and Drink,Affiliate Sales,Site Age,2,Asking price,4999
376,376,RunSocial,Content,Sports and Outdoor,Affiliate Sales,Site Age,1, USD $-30 p/mo,6000
377,377,Honey Home,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,100
378,378,Trusted WHOIS Service + Pet Store ($10.000 Bonuses),Content,Internet,Ads,Site Age,1,Sold,75
379,379,UrlFun.com,Content,Internet,Affiliate Sales,Site Age,1,Sold,150
380,380,RecipeInnovations.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,95
381,381,FinanceNewsPress.com,Content,Business,Affiliate Sales,Site Age,1,18 days left,10
382,382,Grabmile.com,Content,Travel,Affiliate Sales,Site Age,1,Asking price,799
383,383,EvolvingGaming.com,Content,Hobbies and Games,Affiliate Sales,Site Age,1,Sold,135
384,384,BestFishingZone.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,99
385,385,InteriorRules.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,120
386,386,businessyet.com,Content,Business,Affiliate Sales,Site Age,1,Asking Price,127
387,387,DA 50+ Adsense/Amazon 10$ Website -  Done for you - Ultimate Guide 2023,Content,Entertainment,Affiliate Sales,Site Age,1,Sold,59
388,388,RealEstateInvestTips.com,Content,Business,Affiliate Sales,Site Age,1,Sold,85
389,389,WeightNotes.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,500
390,390,MySmoothieChef.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,118
391,391,RealEstatesInvest.com,Content,Business,Affiliate Sales,Site Age,1,Sold,129
392,392,JobsAnswers.com,Content,Business,Affiliate Sales,Site Age,1,Sold,109
393,393,PrimeFinanceTips.com,Content,Business,Affiliate Sales,Site Age,1,Sold,70
394,394,The Wealth Review,Content,Business,Affiliate Sales,Site Age,1,Sold,255
395,395,Doggies Point,Content,Home and Garden,Affiliate Sales,Site Age,1,Asking price,55
396,396,SurvivalistAdvice.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,85
397,397,ForexEarningTips.com,Content,Business,Affiliate Sales,Site Age,1,Sold,85
398,398,bitcoinnewsguide.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Asking price,119
399,399,dogokey.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Asking Price,127
400,400,NimbleGolfer.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,118
401,401,1 year old Online money making blog site with more then 41+ keyword rich article,Content,Internet,Affiliate Sales,Site Age,1,Asking price,104
402,402,TutorialBeauty.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,129
403,403,Businesinc.com,Content,Entertainment,Affiliate Sales,Site Age,2,Sold,2800
404,404,TodaysRealEstateTips.com,Content,Business,Affiliate Sales,Site Age,1,Sold,100
405,405,Legis Video,Content,General Knowledge,Affiliate Sales,Site Age,2,Asking price,1199
406,406,TodayOilNews.com,Content,Business,Affiliate Sales,Site Age,1,18 days left,1
407,407,Keto For Daily Life,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,36
408,408,Jeep vehicles talk,Content,Automotive,Affiliate Sales,Site Age,1,Starting Price,1500
409,409,oksavemoney.com,Content,Business,Affiliate Sales,Site Age,1,Starting Price,127
410,410,urprojectidea.com,Content,Business,Affiliate Sales,Site Age,2,Asking price,1000
411,411,TechPrimePro.com,Content,Electronics,Affiliate Sales,Site Age,1,Sold,100
412,412,FinanceAdvicePoint.com,Content,Business,Affiliate Sales,Site Age,1,Sold,99
413,413,https://biospedia.com/,Content,Entertainment,Affiliate Sales,Site Age,1,Sold,1300
414,414,XYZ Proxy,Content,Internet,Affiliate Sales,Site Age,2,Asking Price,100
415,415,AreTheySelfMade.com,Content,Internet,Affiliate Sales,Site Age,1, USD $-13 p/mo,200
416,416,KetoGuidance.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,110
417,417,gamingmet.com,Content,Hobbies and Games,Affiliate Sales,Site Age,1,Sold,110
418,418,www.TipsHi.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,1
419,419,NewsinCelebrity.com,Content,General Knowledge,Affiliate Sales,Site Age,1,18 days left,16
420,420,FastRealEstateProfit.com,Content,Business,Affiliate Sales,Site Age,1,Sold,109
421,421,NewsForSports.com,Content,General Knowledge,Affiliate Sales,Site Age,1,18 days left,25
422,422,fenomenovni.com,Content,Hobbies and Games,Ads,Site Age,1,Starting Price,398
423,423,LiveAtAnewApartments.com,Content,Business,Ads,Site Age,3,Starting Price,398
424,424,GamingEon.com,Content,Hobbies and Games,Affiliate Sales,Site Age,1,Sold,118
425,425,DogTrainingAdviser.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,149
426,426,GamingAndNews.com - Latest Gaming News,Content,Hobbies and Games,Affiliate Sales,Site Age,1,Sold,129
427,427,SmokeAssistant.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,1 day left,105
428,428,DatingBoulevard.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,115
429,429,AshleyMoon.net,Content,Health and Beauty,Ads,Site Age,1,Starting Price,398
430,430,GetSlimThin.com,Content,Health and Beauty,Affiliate Sales,Site Age,2,Sold,280
431,431,www.Leaded.org,Content,General Knowledge,Affiliate Sales,Site Age,1,Asking price,1
432,432,Tripsideas.com,Content,Travel,Affiliate Sales,Site Age,1,Sold,105
433,433,buygooglenewsapproved.com,Content,General Knowledge,,Site Age,5,Asking price,2500
434,434,GolfingNetworks.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,280
435,435,JustDatingTips.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,75
436,436,SeoApproaches.com,Content,Internet,Affiliate Sales,Site Age,1,Sold,250
437,437,NiceGardener.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,95
438,438,iJobsCareers.com,Content,Education,Ads,Site Age,2,Asking price,1
439,439,Subscription Addict,Content,Internet,Affiliate Sales,Site Age,3,Asking price,1999
440,440,eso-armory.com,Content,Hobbies and Games,Ads,Site Age,3,Starting Price,398
441,441,FavoriteElectronic.com,Content,Electronics,Affiliate Sales,Site Age,1,Sold,120
442,442,MyComfyCamping.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,118
443,443,BitcoinNewsInvest.com - Bitcoin & Crypto News,Content,Business,Affiliate Sales,Site Age,1,Sold,129
444,444,FunDatingAdvice.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,129
445,445,FreshStockTips.com,Content,Business,Affiliate Sales,Site Age,1,Sold,70
446,446,TravellerTrips.com,Content,Travel,Affiliate Sales,Site Age,1,Sold,147
447,447,www.informativation.com,Content,Business,Affiliate Sales,Site Age,1,Asking price,5000
448,448,AutomobileNewsonline.com | Automotive News| Beginner Friendly Starter website | Cars & Truck,Content,Automotive,Affiliate Sales,Site Age,1,Sold,150
449,449,InvestingLiveNews.com,Content,Business,Affiliate Sales,Site Age,1,Sold,129
450,450,MotorElements.com,Content,Automotive,Affiliate Sales,Site Age,1,Sold,320
451,451,HomeBestDecor.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,89
452,452,RecipeConcepts.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,320
453,453,HowLatest.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Asking price,1
454,454,FineWineTips.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,129
455,455,BoundlessCash.com,Content,Business,Affiliate Sales,Site Age,1,Starting Price,95
456,456,VeganAllRecipes.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,129
457,457,hue-expert.com,Content,Electronics,Affiliate Sales,Site Age,6,Asking Price,750
458,458,hairsalonparkerco.com,Content,Health and Beauty,Ads,Site Age,4,Starting Price,398
459,459,LastCyberTech.com,Content,Electronics,Affiliate Sales,Site Age,1,Asking price,99
460,460,https://realrawnews.co.uk/,Content,Entertainment,Affiliate Sales,Site Age,2,Sold,2000
461,461,animaljam-pc.com,Content,Hobbies and Games,Ads,Site Age,2,Starting Price,398
462,462,TourTravelers.com,Content,Travel,Affiliate Sales,Site Age,1,Sold,99
463,463,QuickTravelTips.com,Content,Travel,Affiliate Sales,Site Age,1,Starting Price,85
464,464,ProLoveLife.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,300
465,465,Art Of Passive,Content,Education,Ads,Site Age,1, USD $-18 p/mo,150
466,466,TravelsEngine.com,Content,Travel,Affiliate Sales,Site Age,1,Sold,197
467,467,DecorHomeTips.com - Home Decor & Interior design Tips,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,129
468,468,techaradar.com,Content,Electronics,Affiliate Sales,Site Age,1,Starting Price,127
469,469,SkillfulGolfer.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,120
470,470,MoneyEarnEasy.com,Content,Business,Affiliate Sales,Site Age,1,Sold,320
471,471,ThePianoTutorial.com,Content,Entertainment,Affiliate Sales,Site Age,1,Sold,89
472,472,beautygot.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking Price,117
473,473,ImpressiveDiet.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,105
474,474,Google adsense approved and amazon affiliate website Geedone.com,Content,Hobbies and Games,Affiliate Sales,Site Age,1,Sold,505
475,475,Hows My Clan,Content,Hobbies and Games,Ads,Site Age,4,Asking price,360
476,476,MotivationalWish.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,99
477,477,"Old aged DR 11 health & Fitness niche Blog site . with google web stories, and 66 articles written. Google adsense approved",Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,50
478,478,Smart Spending Strategies,Content,Business,Affiliate Sales,Site Age,1,Sold,399
479,479,Socotra Island,Content,Travel,Ads,Site Age,1,Asking Price,1000
480,480,YourLovelyCats.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,100
481,481,BestAromaCoffee.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,200
482,482,aliveholistically.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,219
483,483,hispirituality.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Sold,100
484,484,SmokeMogul.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,95
485,485,nolaflushing.com,Content,Hobbies and Games,Ads,Site Age,2,Starting Price,398
486,486,Cupids Health,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,8000
487,487,Best Dog Camera,Content,Home and Garden,Affiliate Sales,Site Age,1,Asking price,230
488,488,MegaTravelDeals.com,Content,Travel,Affiliate Sales,Site Age,1,Sold,147
489,489,outdoorlo.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Asking Price,127
490,490,MentallyLife | Self-Mental Care Blog,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,100
491,491,InternetMarketingSuccessPro.com,Content,Internet,Affiliate Sales,Site Age,1,Starting Price,75
492,492,GoPetsCare.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Starting Price,99
493,493,autogir.com,Content,Automotive,Affiliate Sales,Site Age,1,Asking price,127
494,494,vikingroast,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,230
495,495,traveluga.com,Content,Travel,Affiliate Sales,Site Age,1,Starting Price,127
496,496,DatingLegacy.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,320
497,497,iCoupons,Content,Internet,Affiliate Sales,Site Age,1,Asking Price,99
498,498,BLACK FRIDAY SPECIAL - PaidSurveyIncome.com,Content,Internet,Affiliate Sales,Site Age,1,Sold,233
499,499,Act on Camera.com,Content,Entertainment,Affiliate Sales,Site Age,2,Starting Price,1
500,500,PLANIDEALHOME | HOME-HOUSES DECOR,Content,Home and Garden,Affiliate Sales,Site Age,1,4 days left,50
501,501,"LeafyAlive | Green Living,Self-Care Blog",Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,200
502,502,fixcarinsurance.com,Content,Automotive,Affiliate Sales,Site Age,1,Starting Price,127
503,503,A Cute Dog dot com - Starter Blog - Beautiful Dog Blog with 100% Unique Content,Content,Lifestyle,Affiliate Sales,Site Age,1,22 days left,50
504,504,vitospizzabargrill.com,Content,Food and Drink,Ads,Site Age,2,Starting Price,398
505,505,BikingMountains,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Sold,75
506,506,CarsLatestNews.com,Content,Automotive,Affiliate Sales,Site Age,1,Sold,89
507,507,www.HighFear.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking Price,400
508,508,Love daily horoscopes,Content,Lifestyle,Affiliate Sales,Site Age,1,10 days left,175
509,509,lunchideasforkids.com,Content,Food and Drink,Affiliate Sales,Site Age,14,Starting Price,50
510,510,"TravelsToTheWorld | Travling Tips,Blog,Destination",Content,Travel,Affiliate Sales,Site Age,1,Sold,200
511,511,FashionTipsNews.com,Content,Design and Style,Affiliate Sales,Site Age,1,Sold,99
512,512,wishforex.com,Content,Business,Affiliate Sales,Site Age,1,Sold,100
513,513,CryptooCoin.com,Content,Business,Affiliate Sales,Site Age,1,20 days left,120
514,514,Internet Make Money For Beginners,Content,Education,Affiliate Sales,Site Age,2,Starting Price,100
515,515,Assicurazione LTD,Content,Business,Affiliate Sales,Site Age,1,Asking price,6551
516,516,YesToVegan.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Starting Price,99
517,517,Task Govern | Productivity Blog,Content,Business,Affiliate Sales,Site Age,1,Asking price,1
518,518,www.CareersGoals.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Asking price,1
519,519,Travelansa.com,Content,Travel,Affiliate Sales,Site Age,1,Asking price,990
520,520,balazspocze.me,Content,Electronics,Ads,Site Age,1,Starting Price,398
521,521,Naturalhomeremediesdiy.com,Content,Health and Beauty,Ads,Site Age,1,Asking price,8000
522,522,bestbodybeauty.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,105
523,523,DecorTopics.com,Content,Home and Garden,Affiliate Sales,Site Age,1,11 days left,60
524,524,GentleHunter.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Asking price,99
525,525,BesteKorting.com,Content,Internet,Affiliate Sales,Site Age,1,Asking Price,106
526,526,PetsNotebook.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,800
527,527,goodmomlife.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,169
528,528,CoffeeSpotHub.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Starting Price,89
529,529,TravellerssGuide.com,Content,Travel,Affiliate Sales,Site Age,1,Starting Price,10
530,530,2022 CLEARANCE | ProductivePermaculture.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Asking price,197
531,531,RVNwire,Content,Internet,Affiliate Sales,Site Age,1,Asking price,2497
532,532,ExercisesTips.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,210
533,533,Garden Blog | LivinginGarden.com & ThePatioGarden.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Sold,250
534,534,superman-comics.com domain name,Content,Entertainment,Affiliate Sales,Site Age,16, EUR €-4 p/mo,533
535,535,Numerology-Spiritual Awakening,Content,Health and Beauty,Affiliate Sales,Site Age,1,18 days left,50
536,536,proguidehome.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Starting Price,127
537,537,IdeaPlumbing.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Asking price,1
538,538,LAST CALL | Numerology-Spiritual | SoulFulAwake,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,219
539,539,EasyRelation.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,11 days left,10
540,540,fortyfiveplus.club,Content,Health and Beauty,Affiliate Sales,Site Age,2,Asking price,7999
541,541,TheScienceLatest.com - Latest Science news,Content,General Knowledge,Affiliate Sales,Site Age,1,Starting Price,99
542,542,CookingRecipesEasy.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,129
543,543,realestateve.com,Content,Business,Affiliate Sales,Site Age,1,Asking price,127
544,544,AsianNoodleTogo.com,Content,Food and Drink,Ads,Site Age,2,Starting Price,398
545,545,helpsexuality.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Starting Price,127
546,546,FreePSDPoint.com,Content,Design and Style,,Site Age,5,Asking price,500
547,547,Premium Aadhar card  Blog information site +  7 more aadhar related premium domain included,Content,Education,Ads,Site Age,1,Asking price,60
548,548,MySurvivalPro.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Starting Price,85
549,549,NorthwestConeyIsland.com,Content,Travel,Ads,Site Age,1,Starting Price,398
550,550,dharanirtp.com,Content,Food and Drink,Ads,Site Age,2,Starting Price,398
551,551,DoFix.org,Content,Education,Ads,Site Age,1,Asking price,1
552,552,Type of Diet,Content,Food and Drink,Affiliate Sales,Site Age,1,Sold,138
553,553,museekhub.com,Content,Entertainment,Ads,Site Age,1,Starting Price,398
554,554,SurvivorHints.com,Content,Sports and Outdoor,Affiliate Sales,Site Age,1,Asking price,117
555,555,BusinessNewsNotice.com,Content,Business,Affiliate Sales,Site Age,1,Sold,129
556,556,allpetloversinfo.com,Content,Home and Garden,Ads,Site Age,2,3 days left,115
557,557,CelebrateIdea.com,Content,Lifestyle,Affiliate Sales,Site Age,1,Sold,950
558,558,seodigitalcontent.com,Content,Internet,Affiliate Sales,Site Age,1,Sold,250
559,559,The Tom Tech,Content,Education,Ads,Site Age,1,Sold,125
560,560,VehiclesTips.com,Content,Automotive,Affiliate Sales,Site Age,1,Sold,300
561,561,Live Healthy Journey,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking Price,199
562,562,GamesWarriors.com,Content,Hobbies and Games,Ads,Site Age,1,Asking price,1
563,563,FitnessInto.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,225
564,564,FitnessBlogPro.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Starting Price,1
565,565,TechnologyLiveNews.com,Content,Electronics,Affiliate Sales,Site Age,1,Sold,99
566,566,www.YogaHealths.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,375
567,567,MinimalistWays | Minimalism Blog | Last Call,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,199
568,568,TravelFuns.com,Content,Travel,Affiliate Sales,Site Age,1,Sold,280
569,569,affinitytampa.com,Content,Travel,Ads,Site Age,2,Starting Price,398
570,570,ExpertForexAdvice.com,Content,Business,Affiliate Sales,Site Age,1,Starting Price,85
571,571,FoodsHelp.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Asking price,1
572,572,wemakecareer.com,Content,Business,Affiliate Sales,Site Age,1,Starting Price,127
573,573,GuideTopics.com,Content,Education,Ads,Site Age,1,Asking Price,250
574,574,AdmirePets.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Asking price,117
575,575,MindtoHealth.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,220
576,576,ExplodeFitness.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Starting Price,95
577,577,fitnessmirage.com,Content,Health and Beauty,,Site Age,2,Asking price,1000
578,578,HomebrewMadeEasy.com,Content,Food and Drink,Affiliate Sales,Site Age,1,Starting Price,75
579,579,ShopBrokeBaddies.com,Content,Design and Style,Ads,Site Age,2,Starting Price,398
580,580,FitnessFlicker.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,118
581,581,www.ra-w.com,Content,Design and Style,Ads,Site Age,1,Asking price,1
582,582,www.TopHealthIdea.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,1
583,583,FitnessTipsGuide.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Sold,89
584,584,tripmust.com,Content,Travel,Affiliate Sales,Site Age,1,Asking Price,127
585,585,beautiesguru.com,Content,Health and Beauty,Affiliate Sales,Site Age,1,Asking price,199
586,586,Clubephytus.com,Content,Food and Drink,Ads,Site Age,1,7 days left,190
587,587,ToTravelGuide.com,Content,Travel,Affiliate Sales,Site Age,1,Sold,129
588,588,aboutbras.com,Content,Design and Style,,Site Age,1,Asking price,2500
589,589,2022 CLEARANCE | TravellingInTheNewNormal.com,Content,Travel,Affiliate Sales,Site Age,1,Asking price,149
590,590,LovedKitty.com,Content,Home and Garden,Affiliate Sales,Site Age,1,Asking price,118
591,591,CryptocurrencyGears.com,Content,General Knowledge,Affiliate Sales,Site Age,1,Asking Price,109
